article,topic,cluster
Evaluasi Performa dan Pengalaman Pengguna Situs Web Menggunakan Google Lighthouse dan User Experience Questionnaire (UEQ): Kasus pada Situs Fakultas Perikanan dan Ilmu Kelautan Universitas Brawijaya,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Perbandingan Performa Arsitektur Multi Page Application dan Single Page Application Pada Aplikasi Ujian Tulis Daring Berbasis Website,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Pemanfaatan Teknologi Sentence Similarity dan Zero-Shot Classification Sebagai Media Sistem Informasi Pendukung dalam Proses Evaluasi dan Penilaian Ujian Esai,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Implementasi Association Rule Mining pada Data Penjualan Buku UB Press Menggunakan Algoritma FP-Growth,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Faktor-Faktor yang Mempengaruhi Penerimaan Meterai Elektronik pada Mahasiswa Universitas Brawijaya Menggunakan TAM Termodifikasi,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Klasifikasi Ekspresi Wajah Menggunakan Region Selected Facial Landmarks Extraction dan Convolutional Neural Network (CNN),"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Penerapan Bidirectional Long Short-Term Memory dalam Sistem Tanya Jawab Fakultas Ilmu Komputer Universitas Brawijaya,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Evaluasi Usability Fitur Manajemen Naskah Dinas pada Aplikasi UB Apps,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Klasifikasi Emosi Manusia Berbasis Teks Menggunakan Pendekatan Model Bahasa  Bidirectional Encoder Representations from Transformers (BERT),"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Sentimen Berbasis Aspek untuk Mengukur Dimensi Kepuasan Hidup Kota Malang pada Twitter menggunakan BERT,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Pengembangan Media Pembelajaran Bahasa dan Aksara Korea (Hangul) dengan Teknologi Augmented Reality,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Deteksi Stres Berbasis Electroencephalography (EEG) menggunakan Metode Random Forest,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Arsitektur State Management Vuex dan Pinia pada Framework Progresif JavaScript Vue.js,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Perbedaan Perfoma Penggunaan LazyGrid dan RecyclerView dalam Menampilkan Koleksi Data,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
KORELASI FIXATION DAN BEBAN KOGNITIF PADA PENGGUNA LANSIA DENGAN EYE TRACKING PADA APLIKASI KOMUNIKASI DAN MEDIA SOSIAL,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Kualitas Website Portal Berita Merdeka.com Menggunakan Metode Webqual 4.0,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Rancang Bangun Wearable System Klasifikasi Gerak Lari dan Jalan menggunakan Sensor MPU6050 dengan Metode Support Vector Machine Dilengkapi Tracking GPS,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
"Analisis Kinerja Routing Protokol Open Shortest Path First (OSPF), Intermediate System to Intermediate System (IS-IS) dan Enhanced Interior Gateaway Routing Protocol (EIGRP) Pada Jaringan IPV6","belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Klasifikasi Emosi Pada Raut Wajah Pelajar Menggunakan Ekstraktor Fitur Face Mesh Dan Metode Support Vector Machine,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Peramalan Penjualan Buku pada UB Press dengan Menggunakan Metode Moving Average dan Exponential Smoothing,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Perbandingan Performa Microframework Node JS dalam Aplikasi REST (Studi Kasus: Aplikasi Bengkel Jok Mobil),"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Deteksi Objek Pada Framework Yolov5 Dengan Penanganan Kesilauan Cahaya Menggunakan Gabungan Arsitektur U-Net Dan Inpaint,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
